Measure Names,State,Measure Values
B.1.427 / B.1.429,Missouri,0.0068
B.1.617.2,Missouri,0.0676
P.1,Missouri,0.0653
Other lineages,Missouri,0.0766
Total Available Sequences,Missouri,444
B.1.1.7,New Hampshire,0.5481
B.1.351,New Hampshire,
B.1.427 / B.1.429,New Hampshire,0.0052
B.1.617.2,New Hampshire,0.012
P.1,New Hampshire,0.0876
Other lineages,New Hampshire,0.3471
Total Available Sequences,New Hampshire,582
B.1.1.7,New Jersey,0.5349
B.1.351,New Jersey,0.0059
B.1.427 / B.1.429,New Jersey,0.0046
B.1.617.2,New Jersey,0.0339
P.1,New Jersey,0.0548
Other lineages,New Jersey,0.3659
Total Available Sequences,New Jersey,"1,533"
B.1.1.7,New Mexico,0.7356
B.1.351,New Mexico,
B.1.427 / B.1.429,New Mexico,0.0316
B.1.617.2,New Mexico,
P.1,New Mexico,0.0374
Other lineages,New Mexico,0.1954
Total Available Sequences,New Mexico,348
B.1.1.7,New York,0.5668
B.1.351,New York,0.0206
B.1.427 / B.1.429,New York,0.0063
B.1.617.2,New York,0.017
P.1,New York,0.0744
Other lineages,New York,0.3139
Total Available Sequences,New York,"1,115"
B.1.1.7,North Carolina,0.6825
B.1.351,North Carolina,0.01
B.1.427 / B.1.429,North Carolina,0.0021
B.1.617.2,North Carolina,0.0068
P.1,North Carolina,0.0332
Other lineages,North Carolina,0.2654
Total Available Sequences,North Carolina,"1,899"
B.1.1.7,Ohio,0.7958
B.1.351,Ohio,0.008
B.1.427 / B.1.429,Ohio,0.002
B.1.617.2,Ohio,0.0121
P.1,Ohio,0.0654
Other lineages,Ohio,0.1167
Total Available Sequences,Ohio,994
B.1.1.7,Oregon,0.4851
B.1.351,Oregon,0.0263
B.1.427 / B.1.429,Oregon,0.0946
B.1.617.2,Oregon,0.0018
P.1,Oregon,0.1226
Other lineages,Oregon,0.2697
Total Available Sequences,Oregon,571
B.1.1.7,Pennsylvania,0.6943
B.1.351,Pennsylvania,0.0069
B.1.427 / B.1.429,Pennsylvania,0.0043
B.1.617.2,Pennsylvania,0.0053
P.1,Pennsylvania,0.0284
Other lineages,Pennsylvania,0.2609
Total Available Sequences,Pennsylvania,"3,032"
B.1.1.7,Rhode Island,0.454
B.1.351,Rhode Island,
B.1.427 / B.1.429,Rhode Island,0.0074
B.1.617.2,Rhode Island,0.0025
P.1,Rhode Island,0.1374
Other lineages,Rhode Island,0.3988
Total Available Sequences,Rhode Island,815
B.1.1.7,Tennessee,0.8609
B.1.351,Tennessee,
B.1.427 / B.1.429,Tennessee,0.0052
B.1.617.2,Tennessee,0.0092
P.1,Tennessee,0.0551
Other lineages,Tennessee,0.0696
Total Available Sequences,Tennessee,762
B.1.1.7,Texas,0.7319
B.1.351,Texas,0.0035
B.1.427 / B.1.429,Texas,0.0096
B.1.617.2,Texas,0.0272
P.1,Texas,0.0643
Other lineages,Texas,0.1634
Total Available Sequences,Texas,"3,421"
B.1.1.7,Vermont,0.6857
B.1.351,Vermont,
B.1.427 / B.1.429,Vermont,0.0044
B.1.617.2,Vermont,0.0022
P.1,Vermont,0.0242
Other lineages,Vermont,0.2813
Total Available Sequences,Vermont,455
B.1.1.7,Virginia,0.7608
B.1.351,Virginia,0.0132
B.1.427 / B.1.429,Virginia,
B.1.617.2,Virginia,0.0251
P.1,Virginia,0.0431
Other lineages,Virginia,0.1579
Total Available Sequences,Virginia,836
B.1.1.7,Washington,0.6247
B.1.351,Washington,0.0189
B.1.427 / B.1.429,Washington,0.091
B.1.617.2,Washington,0.0281
P.1,Washington,0.1181
Other lineages,Washington,0.1186
Total Available Sequences,Washington,"1,956"
B.1.1.7,West Virginia,0.6151
B.1.351,West Virginia,0.0052
B.1.427 / B.1.429,West Virginia,
B.1.617.2,West Virginia,0.0013
P.1,West Virginia,0.0052
Other lineages,West Virginia,0.3732
Total Available Sequences,West Virginia,769
B.1.1.7,Wisconsin,0.6563
B.1.351,Wisconsin,
B.1.427 / B.1.429,Wisconsin,0.0279
B.1.617.2,Wisconsin,0.0263
P.1,Wisconsin,0.0759
Other lineages,Wisconsin,0.2136
Total Available Sequences,Wisconsin,646
