Measure Names,State,Measure Values
B.1.1.7,Washington,0.5962
B.1.351,Washington,0.019
B.1.427 / B.1.429,Washington,0.1392
P.1,Washington,0.0875
Other lineages,Washington,0.1582
Total Available Sequences,Washington,"1,372"
B.1.1.7,West Virginia,0.6054
B.1.351,West Virginia,0.0012
B.1.427 / B.1.429,West Virginia,0.0061
P.1,West Virginia,0.0024
Other lineages,West Virginia,0.3849
Total Available Sequences,West Virginia,821
B.1.1.7,Wisconsin,0.6552
B.1.351,Wisconsin,0.0012
B.1.427 / B.1.429,Wisconsin,0.0438
P.1,Wisconsin,0.0616
Other lineages,Wisconsin,0.2382
Total Available Sequences,Wisconsin,844
